gender,Age,Aim,Tendency_to_get_a_partner
Female,25,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,21,Marriage,There is every tendency for you to get a partner very soon
Male,34,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,21,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,25,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Female,27,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Male,26,Friendship,"I guess you do not want to inform us, try your luck!"
Female,22,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,29,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Male,28,Casual Dating,There is every tendency for you to get a partner very soon
Male,23,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Female,32,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,33,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,22,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,32,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,19,Friendship,"I guess you do not want to inform us, try your luck!"
Male,24,Casual Dating,There is every tendency for you to get a partner very soon
Male,21,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,24,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,34,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Male,21,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,19,Casual Dating,There is every tendency for you to get a partner very soon
Female,33,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,18,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,29,Friendship,There is every tendency for you to get a partner very soon
Male,26,Friendship,There is every tendency for you to get a partner very soon
Female,24,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,22,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,22,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,24,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Male,29,Friendship,"I guess you do not want to inform us, try your luck!"
Female,26,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,20,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,29,Marriage,"I guess you do not want to inform us, try your luck!"
Male,30,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Male,21,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,24,Marriage,"I guess you do not want to inform us, try your luck!"
Female,34,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,35,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,31,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,29,Marriage,There is every tendency for you to get a partner very soon
Female,22,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Male,19,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,21,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,33,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,34,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,34,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Male,28,Friendship,There is every tendency for you to get a partner very soon
Male,27,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,20,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Female,29,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,34,Friendship,There is every tendency for you to get a partner very soon
Female,30,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,28,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,23,Friendship,There is every tendency for you to get a partner very soon
Male,24,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,28,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Male,21,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,26,Casual Dating,There is every tendency for you to get a partner very soon
Female,26,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Female,35,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Female,24,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,32,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,20,Friendship,There is every tendency for you to get a partner very soon
Female,33,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,21,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,32,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,27,Marriage,"I guess you do not want to inform us, try your luck!"
Male,26,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Female,24,Marriage,"I guess you do not want to inform us, try your luck!"
Female,19,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,20,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Female,20,Friendship,"I guess you do not want to inform us, try your luck!"
Male,30,Marriage,There is every tendency for you to get a partner very soon
Female,25,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Female,31,Casual Dating,There is every tendency for you to get a partner very soon
Male,21,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,32,Friendship,There is every tendency for you to get a partner very soon
Female,18,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,31,Marriage,"I guess you do not want to inform us, try your luck!"
Female,19,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,26,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,28,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,32,Marriage,"I guess you do not want to inform us, try your luck!"
Male,33,Casual Dating,There is every tendency for you to get a partner very soon
Male,33,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Female,34,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,34,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Male,19,Casual Dating,There is every tendency for you to get a partner very soon
Male,18,Friendship,"I guess you do not want to inform us, try your luck!"
Female,28,Casual Dating,There is every tendency for you to get a partner very soon
Female,31,Marriage,"I guess you do not want to inform us, try your luck!"
Male,25,Marriage,There is every tendency for you to get a partner very soon
Male,19,Casual Dating,There is every tendency for you to get a partner very soon
Female,18,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Male,30,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,25,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,26,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,34,Friendship,There is every tendency for you to get a partner very soon
Female,29,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,23,Friendship,"I guess you do not want to inform us, try your luck!"
Female,27,Marriage,"I guess you do not want to inform us, try your luck!"
Male,33,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,19,Marriage,"I guess you do not want to inform us, try your luck!"
Male,35,Marriage,"I guess you do not want to inform us, try your luck!"
Female,33,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Male,18,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,19,Friendship,There is every tendency for you to get a partner very soon
Male,25,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,23,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Female,25,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,32,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,26,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,31,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,35,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,35,Marriage,"I guess you do not want to inform us, try your luck!"
Female,29,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,32,Casual Dating,There is every tendency for you to get a partner very soon
Female,26,Friendship,There is every tendency for you to get a partner very soon
Female,34,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Male,18,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,35,Friendship,"I guess you do not want to inform us, try your luck!"
Male,33,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Male,21,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Female,23,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Female,20,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,25,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,26,Friendship,"I guess you do not want to inform us, try your luck!"
Female,32,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Male,23,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,22,Marriage,There is every tendency for you to get a partner very soon
Male,34,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,31,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Male,28,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,34,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,32,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,30,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,23,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Male,18,Casual Dating,There is every tendency for you to get a partner very soon
Male,33,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,23,Marriage,There is every tendency for you to get a partner very soon
Female,27,Friendship,There is every tendency for you to get a partner very soon
Female,33,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,34,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,19,Casual Dating,There is every tendency for you to get a partner very soon
Male,31,Marriage,There is every tendency for you to get a partner very soon
Male,24,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Female,32,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,18,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,28,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,24,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,29,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Female,30,Marriage,"I guess you do not want to inform us, try your luck!"
Male,34,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,30,Marriage,There is every tendency for you to get a partner very soon
Female,33,Marriage,There is every tendency for you to get a partner very soon
Male,29,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,21,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,33,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Female,27,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,28,Marriage,"I guess you do not want to inform us, try your luck!"
Female,33,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,35,Casual Dating,There is every tendency for you to get a partner very soon
Female,20,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,29,Marriage,There is every tendency for you to get a partner very soon
Male,18,Casual Dating,There is every tendency for you to get a partner very soon
Male,25,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,18,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Female,20,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,22,Marriage,There is every tendency for you to get a partner very soon
Male,31,Marriage,There is every tendency for you to get a partner very soon
Female,18,Marriage,"I guess you do not want to inform us, try your luck!"
Male,18,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Male,30,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Male,30,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,32,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,23,Friendship,There is every tendency for you to get a partner very soon
Female,27,Casual Dating,There is every tendency for you to get a partner very soon
Female,32,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,21,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,25,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,27,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,24,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Male,23,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,20,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,25,Marriage,There is every tendency for you to get a partner very soon
Female,35,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,30,Casual Dating,There is every tendency for you to get a partner very soon
Male,27,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,32,Friendship,There is every tendency for you to get a partner very soon
Male,31,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,35,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,27,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,24,Marriage,"I guess you do not want to inform us, try your luck!"
Male,35,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,24,Marriage,There is every tendency for you to get a partner very soon
Male,27,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Female,35,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,33,Friendship,There is every tendency for you to get a partner very soon
Female,33,Friendship,"I guess you do not want to inform us, try your luck!"
Male,23,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,19,Friendship,"I guess you do not want to inform us, try your luck!"
Female,18,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,18,Casual Dating,There is every tendency for you to get a partner very soon
Male,29,Marriage,There is every tendency for you to get a partner very soon
Female,28,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,29,Marriage,"I guess you do not want to inform us, try your luck!"
Female,23,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,20,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,23,Marriage,"I guess you do not want to inform us, try your luck!"
Male,19,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,24,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,34,Marriage,It might be a bit tough but still be sincere and inform whoever shows interest
Female,33,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Female,29,Friendship,"I guess you do not want to inform us, try your luck!"
Male,19,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,21,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,35,Friendship,"I guess you do not want to inform us, try your luck!"
Female,26,Casual Dating,There is every tendency for you to get a partner very soon
Male,34,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,35,Casual Dating,"I guess you do not want to inform us, try your luck!"
Male,21,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,33,Casual Dating,There is every tendency for you to get a partner very soon
Female,29,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,20,Long-term Relationship,There is every tendency for you to get a partner very soon
Female,29,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Female,28,Marriage,"I guess you do not want to inform us, try your luck!"
Female,18,Friendship,"I guess you do not want to inform us, try your luck!"
Female,29,Long-term Relationship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,19,Casual Dating,There is every tendency for you to get a partner very soon
Female,35,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,29,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,20,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,28,Casual Dating,There is every tendency for you to get a partner very soon
Male,28,Marriage,"I guess you do not want to inform us, try your luck!"
Male,25,Marriage,There is every tendency for you to get a partner very soon
Female,32,Casual Dating,There is every tendency for you to get a partner very soon
Female,24,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Male,35,Casual Dating,It might be a bit tough but still be sincere and inform whoever shows interest
Male,33,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,30,Friendship,It might be a bit tough but still be sincere and inform whoever shows interest
Female,32,Casual Dating,"I guess you do not want to inform us, try your luck!"
Female,33,Long-term Relationship,There is every tendency for you to get a partner very soon
Male,34,Marriage,"I guess you do not want to inform us, try your luck!"
Male,18,Marriage,"I guess you do not want to inform us, try your luck!"
Male,34,Long-term Relationship,"I guess you do not want to inform us, try your luck!"
Male,27,Marriage,There is every tendency for you to get a partner very soon
Female,30,Marriage,There is every tendency for you to get a partner very soon
Male,33,Marriage,There is every tendency for you to get a partner very soon
Male,32,Marriage,"I guess you do not want to inform us, try your luck!"
Male,24,Friendship,"I guess you do not want to inform us, try your luck!"
